Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
6 6 -8.482027 0.0 -71.0564 11.2566 -53.4215 253.257 -2245.21 253.176 -2244.67 0.0 253.176 -2244.67 63.9421 -71.0564 -1998.6082 52.8388 52.8388
6 7 -8.482027 0.0 -71.0564 11.2566 -53.4215 253.257 -2245.21 253.176 -2244.67 0.0 253.176 -2244.67 63.9421 -71.0564 -1998.6082 52.8388 52.8388
7 0 -8.109562 0.0 -61.7911 10.3017 -51.3462 253.257 -2245.21 253.036 -2252.09 0.0 253.036 -2252.09 61.4746 -61.7911 -1999.3705 50.9357 50.9357
7 1 -8.109562 0.0 -61.7911 10.3017 -51.3462 253.257 -2245.21 253.036 -2252.09 0.0 253.036 -2252.09 61.4746 -61.7911 -1999.3705 50.9357 50.9357
7 2 -8.080491 0.0 -61.2606 10.278 -51.0761 253.257 -2245.21 253.145 -2252.37 0.0 253.145 -2252.37 61.4056 -61.2606 -1999.0801 51.1884 51.1884
7 3 -8.080491 0.0 -61.2606 10.278 -51.0761 253.257 -2245.21 253.145 -2252.37 0.0 253.145 -2252.37 61.4056 -61.2606 -1999.0801 51.1884 51.1884
7 4 -8.080491 0.0 -61.2606 10.278 -51.0761 253.257 -2245.21 253.145 -2252.37 0.0 253.145 -2252.37 61.4056 -61.2606 -1999.0801 51.1884 51.1884
7 5 -8.080491 0.0 -61.2606 10.278 -51.0761 253.257 -2245.21 253.145 -2252.37 0.0 253.145 -2252.37 61.4056 -61.2606 -1999.0801 51.1884 51.1884
7 6 -8.060942 0.0 -61.263 10.3193 -51.3801 253.257 -2245.21 253.024 -2252.1 0.0 253.024 -2252.1 61.3582 -61.263 -1998.9808 51.2655 51.2655
7 7 -8.060942 0.0 -61.263 10.3193 -51.3801 253.257 -2245.21 253.024 -2252.1 0.0 253.024 -2252.1 61.3582 -61.263 -1998.9808 51.2655 51.2655
8 0 -7.778463 0.0 -53.5058 11.2049 -57.8064 253.257 -2245.21 255.015 -2267.61 0.0 255.015 -2267.61 67.7127 -53.5058 -1998.3883 54.8561 54.8561
8 1 -7.778463 0.0 -53.5058 11.2049 -57.8064 253.257 -2245.21 255.015 -2267.61 0.0 255.015 -2267.61 67.7127 -53.5058 -1998.3883 54.8561 54.8561
8 2 -7.778463 0.0 -53.5058 11.2049 -57.8064 253.257 -2245.21 255.015 -2267.61 0.0 255.015 -2267.61 67.7127 -53.5058 -1998.3883 54.8561 54.8561
8 3 -7.7763996 0.0 -53.2212 11.1453 -57.3978 253.257 -2245.21 254.944 -2267.59 0.0 254.944 -2267.59 68.4399 -53.2212 -1997.4274 56.3353 56.3353
8 4 -7.7763996 0.0 -53.2212 11.1453 -57.3978 253.257 -2245.21 254.944 -2267.59 0.0 254.944 -2267.59 68.4399 -53.2212 -1997.4274 56.3353 56.3353
8 5 -7.7763996 0.0 -53.2212 11.1453 -57.3978 253.257 -2245.21 254.944 -2267.59 0.0 254.944 -2267.59 68.4399 -53.2212 -1997.4274 56.3353 56.3353
8 6 -7.7763996 0.0 -53.2212 11.1453 -57.3978 253.257 -2245.21 254.944 -2267.59 0.0 254.944 -2267.59 68.4399 -53.2212 -1997.4274 56.3353 56.3353
8 7 -7.667992 0.0 -50.8653 11.1283 -57.0254 253.257 -2245.21 254.896 -2269.04 0.0 254.896 -2269.04 67.6978 -50.8653 -1997.3115 56.9836 56.9836
9 0 -7.715156 0.0 -59.6335 11.6292 -53.353 253.257 -2245.21 252.379 -2247.92 0.0 252.379 -2247.92 57.1274 -59.6335 -1998.047 45.3457 45.3457
9 1 -7.715156 0.0 -59.6335 11.6292 -53.353 253.257 -2245.21 252.379 -2247.92 0.0 252.379 -2247.92 57.1274 -59.6335 -1998.047 45.3457 45.3457
9 2 -7.600742 0.0 -58.0745 11.6673 -53.2225 253.257 -2245.21 252.372 -2248.26 0.0 252.372 -2248.26 57.2046 -58.0745 -1996.7579 45.4032 45.4032
9 3 -7.600742 0.0 -58.0745 11.6673 -53.2225 253.257 -2245.21 252.372 -2248.26 0.0 252.372 -2248.26 57.2046 -58.0745 -1996.7579 45.4032 45.4032
9 4 -7.6335983 0.0 -58.5309 11.6718 -53.0386 253.257 -2245.21 252.391 -2247.93 0.0 252.391 -2247.93 57.3747 -58.5309 -1996.6952 45.3679 45.3679
9 5 -7.6335983 0.0 -58.5309 11.6718 -53.0386 253.257 -2245.21 252.391 -2247.93 0.0 252.391 -2247.93 57.3747 -58.5309 -1996.6952 45.3679 45.3679
9 6 -7.6335983 0.0 -58.5309 11.6718 -53.0386 253.257 -2245.21 252.391 -2247.93 0.0 252.391 -2247.93 57.3747 -58.5309 -1996.6952 45.3679 45.3679
9 7 -7.6335983 0.0 -58.5309 11.6718 -53.0386 253.257 -2245.21 252.391 -2247.93 0.0 252.391 -2247.93 57.3747 -58.5309 -1996.6952 45.3679 45.3679
10 0 -7.172091 0.0 -45.6287 10.758 -58.4017 253.257 -2245.21 255.297 -2271.6 0.0 255.297 -2271.6 64.7041 -45.6287 -1997.2277 65.2232 65.2232
10 1 -7.190113 0.0 -47.1964 10.7343 -58.218 253.257 -2245.21 255.333 -2269.38 0.0 255.333 -2269.38 64.5509 -47.1964 -1996.6924 65.7965 65.7965
10 2 -7.190113 0.0 -47.1964 10.7343 -58.218 253.257 -2245.21 255.333 -2269.38 0.0 255.333 -2269.38 64.5509 -47.1964 -1996.6924 65.7965 65.7965
10 3 -7.274357 0.0 -51.7778 10.7269 -58.0449 253.257 -2245.21 255.564 -2263.87 0.0 255.564 -2263.87 65.1387 -51.7778 -1994.9453 67.1094 67.1094
10 4 -7.274357 0.0 -51.7778 10.7269 -58.0449 253.257 -2245.21 255.564 -2263.87 0.0 255.564 -2263.87 65.1387 -51.7778 -1994.9453 67.1094 67.1094
10 5 -7.274357 0.0 -51.7778 10.7269 -58.0449 253.257 -2245.21 255.564 -2263.87 0.0 255.564 -2263.87 65.1387 -51.7778 -1994.9453 67.1094 67.1094
10 6 -7.274357 0.0 -51.7778 10.7269 -58.0449 253.257 -2245.21 255.564 -2263.87 0.0 255.564 -2263.87 65.1387 -51.7778 -1994.9453 67.1094 67.1094
10 7 -7.274357 0.0 -51.7778 10.7269 -58.0449 253.257 -2245.21 255.564 -2263.87 0.0 255.564 -2263.87 65.1387 -51.7778 -1994.9453 67.1094 67.1094
11 0 -8.19544 0.0 -64.0444 11.4243 -51.0542 253.257 -2245.21 254.302 -2249.94 0.0 254.302 -2249.94 62.6016 -64.0444 -1997.0808 53.9996 53.9996
11 1 -8.19544 0.0 -64.0444 11.4243 -51.0542 253.257 -2245.21 254.302 -2249.94 0.0 254.302 -2249.94 62.6016 -64.0444 -1997.0808 53.9996 53.9996
11 2 -8.15919 0.0 -63.7877 11.4285 -51.1203 253.257 -2245.21 254.28 -2249.77 0.0 254.28 -2249.77 62.2183 -63.7877 -1997.0593 53.8684 53.8684
11 3 -8.15919 0.0 -63.7877 11.4285 -51.1203 253.257 -2245.21 254.28 -2249.77 0.0 254.28 -2249.77 62.2183 -63.7877 -1997.0593 53.8684 53.8684
11 4 -8.15919 0.0 -63.7877 11.4285 -51.1203 253.257 -2245.21 254.28 -2249.77 0.0 254.28 -2249.77 62.2183 -63.7877 -1997.0593 53.8684 53.8684
11 5 -8.123761 0.0 -63.2297 11.4591 -50.992 253.257 -2245.21 254.333 -2249.96 0.0 254.333 -2249.96 62.1096 -63.2297 -1996.7471 53.8653 53.8653
11 6 -8.123761 0.0 -63.2297 11.4591 -50.992 253.257 -2245.21 254.333 -2249.96 0.0 254.333 -2249.96 62.1096 -63.2297 -1996.7471 53.8653 53.8653
11 7 -8.123761 0.0 -63.2297 11.4591 -50.992 253.257 -2245.21 254.333 -2249.96 0.0 254.333 -2249.96 62.1096 -63.2297 -1996.7471 53.8653 53.8653
12 0 -7.9347377 0.0 -61.0855 10.8484 -55.7706 253.257 -2245.21 250.653 -2250.22 0.0 250.653 -2250.22 63.6998 -61.0855 -1996.9528 56.803 56.803
12 1 -7.9347377 0.0 -61.0855 10.8484 -55.7706 253.257 -2245.21 250.653 -2250.22 0.0 250.653 -2250.22 63.6998 -61.0855 -1996.9528 56.803 56.803
12 2 -7.9347377 0.0 -61.0855 10.8484 -55.7706 253.257 -2245.21 250.653 -2250.22 0.0 250.653 -2250.22 63.6998 -61.0855 -1996.9528 56.803 56.803
12 3 -7.594707 0.0 -57.1788 10.9091 -55.9372 253.257 -2245.21 250.863 -2251.1 0.0 250.863 -2251.1 62.1881 -57.1788 -1995.2278 59.0705 59.0705
12 4 -7.594707 0.0 -57.1788 10.9091 -55.9372 253.257 -2245.21 250.863 -2251.1 0.0 250.863 -2251.1 62.1881 -57.1788 -1995.2278 59.0705 59.0705
12 5 -7.2071333 0.0 -51.6307 11.0099 -56.3038 253.257 -2245.21 251.391 -2254.37 0.0 251.391 -2254.37 61.834 -51.6307 -1992.7758 63.2971 63.2971
12 6 -7.2071333 0.0 -51.6307 11.0099 -56.3038 253.257 -2245.21 251.391 -2254.37 0.0 251.391 -2254.37 61.834 -51.6307 -1992.7758 63.2971 63.2971
12 7 -7.2071333 0.0 -51.6307 11.0099 -56.3038 253.257 -2245.21 251.391 -2254.37 0.0 251.391 -2254.37 61.834 -51.6307 -1992.7758 63.2971 63.2971
13 0 -7.5552483 0.0 -50.0301 11.7181 -48.2512 253.257 -2245.21 254.48 -2258.16 0.0 254.48 -2258.16 56.9424 -50.0301 -1996.7676 58.9024 58.9024
13 1 -7.5552483 0.0 -50.0301 11.7181 -48.2512 253.257 -2245.21 254.48 -2258.16 0.0 254.48 -2258.16 56.9424 -50.0301 -1996.7676 58.9024 58.9024
13 2 -7.5552483 0.0 -50.0301 11.7181 -48.2512 253.257 -2245.21 254.48 -2258.16 0.0 254.48 -2258.16 56.9424 -50.0301 -1996.7676 58.9024 58.9024
13 3 -7.502852 0.0 -49.2157 11.6952 -47.8746 253.257 -2245.21 254.492 -2258.24 0.0 254.492 -2258.24 56.4914 -49.2157 -1996.4724 59.1338 59.1338
13 4 -7.502852 0.0 -49.2157 11.6952 -47.8746 253.257 -2245.21 254.492 -2258.24 0.0 254.492 -2258.24 56.4914 -49.2157 -1996.4724 59.1338 59.1338
13 5 -7.502852 0.0 -49.2157 11.6952 -47.8746 253.257 -2245.21 254.492 -2258.24 0.0 254.492 -2258.24 56.4914 -49.2157 -1996.4724 59.1338 59.1338
13 6 -7.384649 0.0 -47.4654 11.6725 -48.0086 253.257 -2245.21 254.464 -2259.14 0.0 254.464 -2259.14 56.4914 -47.4654 -1995.6498 59.8432 59.8432
13 7 -7.384649 0.0 -47.4654 11.6725 -48.0086 253.257 -2245.21 254.464 -2259.14 0.0 254.464 -2259.14 56.4914 -47.4654 -1995.6498 59.8432 59.8432
14 0 -6.2142754 0.0 -20.6179 10.8788 -54.1836 253.257 -2245.21 252.266 -2285.52 0.0 252.266 -2285.52 57.4951 -20.6179 -1996.3768 47.9472 47.9472
14 1 -6.212698 0.0 -20.5604 10.8792 -54.2483 253.257 -2245.21 252.242 -2285.61 0.0 252.242 -2285.61 57.6263 -20.5604 -1996.3022 47.9908 47.9908
14 2 -6.211591 0.0 -20.5459 10.8689 -54.2293 253.257 -2245.21 252.254 -2285.63 0.0 252.254 -2285.63 57.6746 -20.5459 -1996.2472 48.0255 48.0255
14 3 -6.286456 0.0 -22.1911 10.9401 -53.6848 253.257 -2245.21 252.341 -2283.79 0.0 252.341 -2283.79 57.6092 -22.1911 -1996.0308 47.9726 47.9726
14 4 -6.3107815 0.0 -22.4292 10.9502 -53.6411 253.257 -2245.21 252.315 -2283.72 0.0 252.315 -2283.72 58.0097 -22.4292 -1995.8245 48.0529 48.0529
14 5 -6.153476 0.0 -20.3251 10.9171 -53.724 253.257 -2245.21 252.421 -2284.7 0.0 252.421 -2284.7 57.3732 -20.3251 -1995.2308 49.1342 49.1342
15 0 -7.6380277 0.0 -55.5606 10.9519 -61.1343 253.257 -2245.21 252.299 -2261.66 0.0 252.299 -2261.66 68.5634 -55.5606 -1996.3583 52.7399 52.7399
15 1 -7.6380277 0.0 -55.5606 10.9519 -61.1343 253.257 -2245.21 252.299 -2261.66 0.0 252.299 -2261.66 68.5634 -55.5606 -1996.3583 52.7399 52.7399
15 2 -7.6380277 0.0 -55.5606 10.9519 -61.1343 253.257 -2245.21 252.299 -2261.66 0.0 252.299 -2261.66 68.5634 -55.5606 -1996.3583 52.7399 52.7399
15 3 -7.5564675 0.0 -53.6809 10.8989 -60.7843 253.257 -2245.21 252.186 -2262.79 0.0 252.186 -2262.79 69.3196 -53.6809 -1994.9653 52.8026 52.8026
15 4 -7.5564675 0.0 -53.6809 10.8989 -60.7843 253.257 -2245.21 252.186 -2262.79 0.0 252.186 -2262.79 69.3196 -53.6809 -1994.9653 52.8026 52.8026
15 5 -7.5555835 0.0 -53.5816 10.8972 -60.7135 253.257 -2245.21 252.179 -2262.85 0.0 252.179 -2262.85 69.3715 -53.5816 -1994.8813 52.8293 52.8293
15 6 -7.5555835 0.0 -53.5816 10.8972 -60.7135 253.257 -2245.21 252.179 -2262.85 0.0 252.179 -2262.85 69.3715 -53.5816 -1994.8813 52.8293 52.8293
15 7 -7.5555835 0.0 -53.5816 10.8972 -60.7135 253.257 -2245.21 252.179 -2262.85 0.0 252.179 -2262.85 69.3715 -53.5816 -1994.8813 52.8293 52.8293
16 0 -7.5948544 0.0 -43.9341 10.7934 -49.734 253.257 -2245.21 251.658 -2266.78 0.0 251.658 -2266.78 63.0508 -43.9341 -1996.0054 55.924 55.924
16 1 -7.5948544 0.0 -43.9341 10.7934 -49.734 253.257 -2245.21 251.658 -2266.78 0.0 251.658 -2266.78 63.0508 -43.9341 -1996.0054 55.924 55.924
16 2 -7.5948544 0.0 -43.9341 10.7934 -49.734 253.257 -2245.21 251.658 -2266.78 0.0 251.658 -2266.78 63.0508 -43.9341 -1996.0054 55.924 55.924
16 3 -7.5948544 0.0 -43.9341 10.7934 -49.734 253.257 -2245.21 251.658 -2266.78 0.0 251.658 -2266.78 63.0508 -43.9341 -1996.0054 55.924 55.924
16 4 -7.712016 0.0 -44.964 10.8363 -49.8026 253.257 -2245.21 251.338 -2266.61 0.0 251.338 -2266.61 64.878 -44.964 -1995.358 55.0676 55.0676
16 5 -7.712016 0.0 -44.964 10.8363 -49.8026 253.257 -2245.21 251.338 -2266.61 0.0 251.338 -2266.61 64.878 -44.964 -1995.358 55.0676 55.0676
16 6 -7.716444 0.0 -44.9381 10.8483 -49.7714 253.257 -2245.21 251.291 -2266.6 0.0 251.291 -2266.6 65.2658 -44.9381 -1994.9814 54.9581 54.9581
16 7 -7.716444 0.0 -44.9381 10.8483 -49.7714 253.257 -2245.21 251.291 -2266.6 0.0 251.291 -2266.6 65.2658 -44.9381 -1994.9814 54.9581 54.9581
17 0 -9.098917 0.0 -87.5046 11.0237 -54.4846 253.257 -2245.21 251.754 -2228.55 0.0 251.754 -2228.55 69.0907 -87.5046 -1995.2098 60.2359 60.2359
17 1 -9.098917 0.0 -87.5046 11.0237 -54.4846 253.257 -2245.21 251.754 -2228.55 0.0 251.754 -2228.55 69.0907 -87.5046 -1995.2098 60.2359 60.2359
17 2 -9.139272 0.0 -88.1542 11.0421 -54.7739 253.257 -2245.21 251.653 -2228.31 0.0 251.653 -2228.31 69.9762 -88.1542 -1994.8351 59.7031 59.7031
17 3 -9.139272 0.0 -88.1542 11.0421 -54.7739 253.257 -2245.21 251.653 -2228.31 0.0 251.653 -2228.31 69.9762 -88.1542 -1994.8351 59.7031 59.7031
17 4 -9.139272 0.0 -88.1542 11.0421 -54.7739 253.257 -2245.21 251.653 -2228.31 0.0 251.653 -2228.31 69.9762 -88.1542 -1994.8351 59.7031 59.7031
17 5 -9.139272 0.0 -88.1542 11.0421 -54.7739 253.257 -2245.21 251.653 -2228.31 0.0 251.653 -2228.31 69.9762 -88.1542 -1994.8351 59.7031 59.7031
17 6 -9.1265135 0.0 -88.1968 11.0469 -54.7971 253.257 -2245.21 251.665 -2228.07 0.0 251.665 -2228.07 69.8767 -88.1968 -1994.7251 59.4155 59.4155
17 7 -9.1265135 0.0 -88.1968 11.0469 -54.7971 253.257 -2245.21 251.665 -2228.07 0.0 251.665 -2228.07 69.8767 -88.1968 -1994.7251 59.4155 59.4155
18 0 -6.4485207 0.0 -22.3597 10.8718 -57.6232 253.257 -2245.21 252.657 -2290.71 0.0 252.657 -2290.71 66.9592 -22.3597 -1993.4534 67.9807 67.9807
18 1 -6.4485207 0.0 -22.3597 10.8718 -57.6232 253.257 -2245.21 252.657 -2290.71 0.0 252.657 -2290.71 66.9592 -22.3597 -1993.4534 67.9807 67.9807
18 2 -6.4485207 0.0 -22.3597 10.8718 -57.6232 253.257 -2245.21 252.657 -2290.71 0.0 252.657 -2290.71 66.9592 -22.3597 -1993.4534 67.9807 67.9807
18 3 -6.4485207 0.0 -22.3597 10.8718 -57.6232 253.257 -2245.21 252.657 -2290.71 0.0 252.657 -2290.71 66.9592 -22.3597 -1993.4534 67.9807 67.9807
18 4 -6.510241 0.0 -22.8962 10.8659 -56.5271 253.257 -2245.21 252.552 -2289.64 0.0 252.552 -2289.64 66.7507 -22.8962 -1993.2334 67.6167 67.6167
18 5 -6.496332 0.0 -22.6129 10.8625 -56.3975 253.257 -2245.21 252.451 -2289.57 0.0 252.451 -2289.57 66.5863 -22.6129 -1993.1456 67.4093 67.4093
18 6 -6.496332 0.0 -22.6129 10.8625 -56.3975 253.257 -2245.21 252.451 -2289.57 0.0 252.451 -2289.57 66.5863 -22.6129 -1993.1456 67.4093 67.4093
