Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
5 9 -7.5103393 0.0 -54.0151 7.8455 -41.7129 268.591 -2156.0 267.877 -2158.51 0.0 267.877 -2158.51 93.0969 -54.0151 -1851.5513 48.6762 48.6762
5 10 -7.5753613 0.0 -55.8592 7.81733 -41.5794 268.591 -2156.0 267.824 -2156.55 0.0 267.824 -2156.55 94.0659 -55.8592 -1850.5193 49.9242 49.9242
5 11 -6.7793927 0.0 -38.8387 7.72116 -40.6843 268.591 -2156.0 267.826 -2169.11 0.0 267.826 -2169.11 90.2245 -38.8387 -1849.8984 50.7771 50.7771
5 12 -6.7498236 0.0 -39.006 7.68168 -40.5673 268.591 -2156.0 268.452 -2169.28 0.0 268.452 -2169.28 90.0498 -39.006 -1849.7843 51.9164 51.9164
6 0 -7.152305 0.0 -43.7108 7.73976 -41.5107 268.591 -2156.0 267.496 -2167.96 0.0 267.496 -2167.96 90.9223 -43.7108 -1853.2526 54.0904 54.0904
6 1 -7.0013933 0.0 -41.4075 7.71776 -41.3516 268.591 -2156.0 267.6 -2169.09 0.0 267.6 -2169.09 90.2998 -41.4075 -1852.5978 54.9315 54.9315
6 2 -7.0013933 0.0 -41.4075 7.71776 -41.3516 268.591 -2156.0 267.6 -2169.09 0.0 267.6 -2169.09 90.2998 -41.4075 -1852.5978 54.9315 54.9315
6 3 -7.0013933 0.0 -41.4075 7.71776 -41.3516 268.591 -2156.0 267.6 -2169.09 0.0 267.6 -2169.09 90.2998 -41.4075 -1852.5978 54.9315 54.9315
6 4 -7.0013933 0.0 -41.4075 7.71776 -41.3516 268.591 -2156.0 267.6 -2169.09 0.0 267.6 -2169.09 90.2998 -41.4075 -1852.5978 54.9315 54.9315
6 5 -7.0013933 0.0 -41.4075 7.71776 -41.3516 268.591 -2156.0 267.6 -2169.09 0.0 267.6 -2169.09 90.2998 -41.4075 -1852.5978 54.9315 54.9315
6 6 -7.0013933 0.0 -41.4075 7.71776 -41.3516 268.591 -2156.0 267.6 -2169.09 0.0 267.6 -2169.09 90.2998 -41.4075 -1852.5978 54.9315 54.9315
6 7 -6.8759623 0.0 -39.0287 7.66263 -41.2463 268.591 -2156.0 267.537 -2170.6 0.0 267.537 -2170.6 89.8968 -39.0287 -1852.195 55.3285 55.3285
7 0 -7.417288 0.0 -54.6748 7.53219 -40.5464 268.591 -2156.0 267.044 -2154.0 0.0 267.044 -2154.0 89.0052 -54.6748 -1852.6257 42.7469 42.7469
7 1 -7.4208097 0.0 -54.7365 7.53399 -40.5393 268.591 -2156.0 267.036 -2153.94 0.0 267.036 -2153.94 89.0352 -54.7365 -1852.6053 42.7404 42.7404
7 2 -7.4208097 0.0 -54.7365 7.53399 -40.5393 268.591 -2156.0 267.036 -2153.94 0.0 267.036 -2153.94 89.0352 -54.7365 -1852.6053 42.7404 42.7404
7 3 -7.420884 0.0 -54.7167 7.53264 -40.5316 268.591 -2156.0 267.032 -2153.96 0.0 267.032 -2153.96 89.0394 -54.7167 -1852.6052 42.7384 42.7384
7 4 -7.4150076 0.0 -54.7732 7.52417 -40.5098 268.591 -2156.0 267.001 -2153.72 0.0 267.001 -2153.72 89.1426 -54.7732 -1852.3496 42.8129 42.8129
7 5 -7.3903303 0.0 -54.52 7.53636 -40.5189 268.591 -2156.0 267.002 -2153.7 0.0 267.002 -2153.7 89.1142 -54.52 -1852.1038 43.0078 43.0078
7 6 -7.356216 0.0 -54.1998 7.52674 -40.5474 268.591 -2156.0 266.982 -2153.65 0.0 266.982 -2153.65 89.0661 -54.1998 -1851.8018 43.0719 43.0719
7 7 -7.356216 0.0 -54.1998 7.52674 -40.5474 268.591 -2156.0 266.982 -2153.65 0.0 266.982 -2153.65 89.0661 -54.1998 -1851.8018 43.0719 43.0719
8 0 -6.895573 0.0 -41.8232 7.60344 -40.6337 268.591 -2156.0 269.148 -2168.57 0.0 269.148 -2168.57 88.6269 -41.8232 -1852.6184 51.7454 51.7454
8 1 -6.895573 0.0 -41.8232 7.60344 -40.6337 268.591 -2156.0 269.148 -2168.57 0.0 269.148 -2168.57 88.6269 -41.8232 -1852.6184 51.7454 51.7454
8 2 -6.895573 0.0 -41.8232 7.60344 -40.6337 268.591 -2156.0 269.148 -2168.57 0.0 269.148 -2168.57 88.6269 -41.8232 -1852.6184 51.7454 51.7454
